Samp_ID,Date.x,River Mile.x,Trip ID,Total Length (mm),Fork Length (mm),Weight (g),Gut DNA,Iso,Pit Tag,Notes.x,Skin,Eyes,Dorsal,Caudal,Pectoral,Operculum,Gills,Notes.y
FMS01_09-23-25,2025-09-23T00:00:00Z,9,FMS01,478,452,848,N,Y,N,NA,2,0,0,0,0,0,0,Dark colored patch on nose
FMS02_09-23-25,2025-09-23T00:00:00Z,9,FMS02,474,452,943,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS03_09-23-25,2025-09-23T00:00:00Z,9,FMS03,491,470,1090,N,Y,N,NA,1,0,0,1,0,0,0,Anal fin ragged-not caudal
FMS04_09-23-25,2025-09-23T00:00:00Z,9,FMS04,456,435,1060,Y,Y,N,NA,0,0,0,1,0,0,0,NA
FMS05_09-23-25,2025-09-23T00:00:00Z,9,FMS05,463,436,940,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS06_09-25-25,2025-09-25T00:00:00Z,30.8,FMS06,523,500,1143,Y,Y,NA,NA,0,0,0,0,0,0,0,NA
RBT01_09-25-25,2025-09-25T00:00:00Z,30.8,RBT01,322,297,197,Y,Y,NA,NA,1,3,0,1,0,0,0,NA
FMS07_09-25-25,2025-09-25T00:00:00Z,30.8,FMS07,408,386,555,Y,Y,NA,NA,0,0,0,0,0,0,0,NA
FMS08_09-25-25,2025-09-25T00:00:00Z,30.8,FMS08,488,460,942,Y,Y,NA,NA,0,0,0,0,1,0,0,Right ventral fin looks previously cut
FMS09_09-25-25,2025-09-25T00:00:00Z,30.8,FMS09,421,401,588,Y,Y,NA,NA,0,0,0,0,0,0,0,NA
FMS10_09-25-25,2025-09-25T00:00:00Z,30.8,FMS10,420,406,615,Y,Y,NA,NA,0,0,0,1,0,0,0,"Left ventral blunt, not golden on body"
FMS11_09-25-25,2025-09-25T00:00:00Z,30.8,FMS11,435,407,609,Y,Y,NA,NA,0,3,0,0,0,0,0,Missing left eye
FMS12_09-25-25,2025-09-25T00:00:00Z,30.8,FMS12,393,373,502,Y,Y,NA,NA,0,0,0,0,0,0,0,Blunt ventral fin
FMS13_09-25-25,2025-09-25T00:00:00Z,30.8,FMS13,406,391,573,Y,Y,NA,NA,0,0,1,0,0,0,0,NA
FMS14_09-25-25,2025-09-25T00:00:00Z,30.8,FMS14,462,444,913,Y,Y,NA,NA,0,0,0,0,0,0,0,NA
FMS15_09-25-25,2025-09-25T00:00:00Z,30.8,FMS15,486,467,898,Y,Y,Y,3DD.003BEFD199,0,0,0,0,0,0,0,NA
FMS16_09-25-25,2025-09-25T00:00:00Z,30.8,FMS16,481,457,737,N,Y,N?,3D9.1C2C97EC17,0,0,1,1,0,0,0,NA
HBC01_09-25-25,2025-09-25T00:00:00Z,30.8,HBC01,388,355,430,N,Y,Y,3D9.1C2D3F9791,0,0,0,1,0,0,0,NA
FMS17_09-26-25,2025-09-26T00:00:00Z,47.6,FMS17,544,514,1388,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS18_09-26-25,2025-09-26T00:00:00Z,47.6,FMS18,522,495,1231,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS19_09-26-25,2025-09-26T00:00:00Z,47.6,FMS19,457,428,743,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS20_09-26-25,2025-09-26T00:00:00Z,47.6,FMS20,345,330,336,N,Y,N,NA,0,0,0,0,0,0,0,NA
RBT02_09-26-25,2025-09-26T00:00:00Z,47.6,RBT02,367,355,473,Y,Y,N,NA,0,0,0,0,0,0,0,NA
RBT03_09-26-25,2025-09-26T00:00:00Z,47.6,RBT03,343,324,357,Y,Y,N,NA,0,0,0,0,0,0,0,NA
RBT04_09-26-25,2025-09-26T00:00:00Z,47.6,RBT04,258,246,186,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS21_09-26-25,2025-09-26T00:00:00Z,47.6,FMS21,537,512,1220,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS22_09-26-25,2025-09-26T00:00:00Z,47.6,FMS22,408,397,587,N,Y,Y,3DD.003D7D3BC2,0,0,0,0,0,0,0,NA
FMS23_09-26-25,2025-09-26T00:00:00Z,47.6,FMS23,532,516,1245,N,Y,N,NA,0,0,0,1,1,0,0,NA
FMS24_09-26-25,2025-09-26T00:00:00Z,47.6,FMS24,522,497,1192,N,Y,N,NA,0,0,0,0,0,0,0,NA
RBT05_09-26-25,2025-09-26T00:00:00Z,47.6,RBT05,390,370,626,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS25_09-26-25,2025-09-26T00:00:00Z,47.6,FMS25,509,480,1100,N,Y,N,NA,0,0,1,1,1,0,0,NA
FMS26_09-26-25,2025-09-26T00:00:00Z,47.6,FMS26,446,430,725,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS27_09-26-25,2025-09-26T00:00:00Z,47.6,FMS27,351,330,385,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS28_09-26-25,2025-09-26T00:00:00Z,47.6,FMS28,521,489,998,N,Y,Y,3DD.003BCF3824,0,0,1,1,1,0,0,NA
FMS29_09-26-25,2025-09-26T00:00:00Z,47.6,FMS29,496,468,978,N,Y,N,NA,0,0,0,1,0,0,0,NA
FMS30_09-26-25,2025-09-26T00:00:00Z,47.6,FMS30,462,448,951,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS31_09-27-25,2025-09-27T00:00:00Z,56.6,FMS31,348,325,367,Y,Y,N,NA,0,0,0,0,0,0,0,NA
HBC02_09-27-25,2025-09-27T00:00:00Z,56.6,HBC02,309,274,239,Y,Y,N,poop = one N2MS,0,0,0,0,0,0,0,NA
HBC03_09-27-25,2025-09-27T00:00:00Z,56.6,HBC03,339,298,382,N,Y,Y,3DD.003BFB16AE,0,0,0,0,0,0,0,NA
RBT06_09-27-25,2025-09-27T00:00:00Z,56.6,RBT06,364,343,470,Y,Y,N,NA,0,0,0,0,0,0,0,NA
RBT07_09-27-25,2025-09-27T00:00:00Z,56.6,RBT07,322,303,301,N,Y,N,NA,1,0,0,0,0,0,0,NA
FMS32_09-27-25,2025-09-27T00:00:00Z,56.6,FMS32,516,493,1068,Y,Y,N,NA,0,0,0,0,0,0,0,NA
HBC04_09-27-25,2025-09-27T00:00:00Z,56.6,HBC04,383,348,513,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS33_09-27-25,2025-09-27T00:00:00Z,56.6,FMS33,466,449,920,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS34_09-27-25,2025-09-27T00:00:00Z,56.6,FMS34,381,362,544,Y,Y,N,Previously clipped?,0,0,0,0,0,0,0,NA
FMS35_09-27-25,2025-09-27T00:00:00Z,56.6,FMS35,480,457,936,Y,Y,N,NA,1,0,0,0,0,0,0,NA
FMS36_09-27-25,2025-09-27T00:00:00Z,56.6,FMS36,405,382,573,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS37_09-27-25,2025-09-27T00:00:00Z,56.6,FMS37,437,409,733,Y,Y,N,NA,1,0,0,0,0,0,0,NA
HBC05_09-27-25,2025-09-27T00:00:00Z,56.6,HBC05,340,299,358,N,Y,Y,3DD.003BA04999,1,0,0,0,0,0,0,NA
HBC06_09-27-25,2025-09-27T00:00:00Z,56.6,HBC06,376,342,481,N,Y,N,NA,1,0,0,1,0,0,0,NA
FMS38_09-27-25,2025-09-27T00:00:00Z,56.6,FMS38,479,453,781,Y,Y,N,NA,0,0,0,0,0,1,2,NA
FMS39_09-27-25,2025-09-27T00:00:00Z,56.6,FMS39,451,424,784,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS40_09-27-25,2025-09-27T00:00:00Z,56.6,FMS40,429,407,608,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS41_09-27-25,2025-09-27T00:00:00Z,56.6,FMS41,407,382,559,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS42_09-27-25,2025-09-27T00:00:00Z,56.6,FMS42,374,355,358,N,Y,N,NA,0,0,0,0,0,0,0,NA
HBC07_09-27-25,2025-09-27T00:00:00Z,68.3,HBC07,329,299?,309,N,Y,Y,3DD.003D7D12C7,0,0,0,0,0,0,0,NA
FMS43_09-27-25,2025-09-27T00:00:00Z,68.3,FMS43,408,391,583,Y,Y,Y,3DD.003D7D3070,0,0,0,0,0,0,2,Gills white parasite
FMS44_09-27-25,2025-09-27T00:00:00Z,68.3,FMS44,433,408,646,Y,Y,N,NA,0,0,0,0,0,0,0,NA
HBC08_09-27-25,2025-09-27T00:00:00Z,68.3,HBC08,314,279,272,N,Y,N,NA,0,0,0,0,0,0,0,NA
HBC09_09-27-25,2025-09-27T00:00:00Z,68.3,HBC09,345,316,392,N,Y,Y,3DD.003DA52B7D,0,0,0,0,0,0,0,NA
RBT08_09-27-25,2025-09-27T00:00:00Z,68.3,RBT08,344,332,368,Y,Y,N,NA,1,0,0,0,0,0,1,Possible parasite in gills
HBC10_09-27-25,2025-09-27T00:00:00Z,68.3,HBC10,350,310,434,Y,Y,N,NA,0,0,0,1,0,0,0,NA
HBC11_09-27-25,2025-09-27T00:00:00Z,68.3,HBC11,334,302,320,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS45_09-27-25,2025-09-27T00:00:00Z,68.3,FMS45,382,363,459,N,Y,N,NA,0,0,0,0,0,0,1,Parasite
HBC12_09-27-25,2025-09-27T00:00:00Z,68.3,HBC12,303,274,238,N,Y,Y,3DD.003E3F10EE,0,0,0,0,0,0,0,NA
HBC13_09-27-25,2025-09-27T00:00:00Z,68.3,HBC13,316,284,288,Y,Y,Y,3DD.003D4D34AE,0,0,0,0,0,0,0,NA
RBT09_09-27-25,2025-09-27T00:00:00Z,68.3,RBT09,365,338,398,N,Y,N,NA,0,0,0,0,0,0,1,Parasite
RBT10_09-27-25,2025-09-27T00:00:00Z,68.3,RBT10,275,260,216,Y,Y,N,NA,0,0,0,0,0,0,1,Parasite
FMS46_09-29-25,2025-09-29T00:00:00Z,87.7,FMS46,522,504,967,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS47_09-29-25,2025-09-29T00:00:00Z,87.7,FMS47,396,382,478,N,Y,N,NA,0,0,0,2,0,0,0,NA
FMS48_09-29-25,2025-09-29T00:00:00Z,87.7,FMS48,397,377,453,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS49_09-29-25,2025-09-29T00:00:00Z,87.7,FMS49,359,343,372,Y,Y,N,NA,1,0,0,0,1,0,0,NA
FMS50_09-29-25,2025-09-29T00:00:00Z,87.7,FMS50,370,344,429,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS51_09-29-25,2025-09-29T00:00:00Z,87.7,FMS51,456,436,774,N,Y,N,NA,1,0,1,1,0,0,0,NA
FMS52_09-29-25,2025-09-29T00:00:00Z,87.7,FMS52,392,365,440,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS53_09-29-25,2025-09-29T00:00:00Z,87.7,FMS53,475,454,859,Y,Y,N,NA,0,0,0,1,0,0,0,NA
FMS54_09-29-25,2025-09-29T00:00:00Z,87.7,FMS54,366,348,386,N,Y,N,NA,1,0,0,0,0,0,0,NA
FMS55_09-29-25,2025-09-29T00:00:00Z,87.7,FMS55,476,457,886,N,Y,N,NA,1,3,0,0,0,0,0,NA
FMS56_09-29-25,2025-09-29T00:00:00Z,87.7,FMS56,474,454,916,N,Y,N,NA,1,0,0,1,1,0,0,NA
FMS57_09-29-25,2025-09-29T00:00:00Z,87.7,FMS57,465,442,754,Y,Y,N,NA,0,0,0,1,0,0,0,NA
FMS58_09-29-25,2025-09-29T00:00:00Z,87.7,FMS58,493,470,836,N,Y,N,NA,0,0,0,1,0,0,0,Anal fin also fucked up
FMS59_09-29-25,2025-09-29T00:00:00Z,87.7,FMS59,434,410,616,N,Y,N,NA,0,0,0,1,0,0,0,NA
FMS60_09-29-25,2025-09-29T00:00:00Z,87.7,FMS60,453,410,595,N,Y,N,NA,0,0,1,2,0,0,0,Anal fin also fucked
FMS61_09-29-25,2025-09-29T00:00:00Z,87.7,FMS61,451,432,820,N,Y,N,NA,0,0,1,0,0,0,0,NA
FMS62_09-29-25,2025-09-29T00:00:00Z,87.7,FMS62,454,427,722,N,Y,N,NA,0,0,1,0,0,0,0,NA
RBT11_09-29-25,2025-09-29T00:00:00Z,87.7,RBT11,181,117,54,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS63_09-29-25,2025-09-29T00:00:00Z,87.7,FMS63,446,432,695,N,Y,N,NA,0,0,0,1,0,0,0,NA
FMS64_09-29-25,2025-09-29T00:00:00Z,87.7,FMS64,374,349,361,Y,Y,Y,3DD.003E54C2E2,0,0,0,2,0,0,0,NA
FMS65_09-29-25,2025-09-29T00:00:00Z,87.7,FMS65,360,337,342,N,Y,N,NA,0,0,0,1,0,0,0,NA
FMS66_09-29-25,2025-09-29T00:00:00Z,87.7,FMS66,394,368,454,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS67_09-29-25,2025-09-29T00:00:00Z,87.7,FMS67,409,391,492,Y,Y,N,NA,0,0,1,1,0,0,0,Anal fin rough as well
FMS68_09-29-25,2025-09-29T00:00:00Z,87.7,FMS68,386,367,472,N,Y,N,NA,0,0,1,1,0,0,0,NA
FMS69_09-29-25,2025-09-29T00:00:00Z,87.7,FMS69,405,382,504,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS70_09-29-25,2025-09-29T00:00:00Z,87.7,FMS70,485,462,798,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS71_09-29-25,2025-09-29T00:00:00Z,87.7,FMS71,386,370,462,N,Y,Y,3DD.003BEFD294,1,0,1,0,0,0,0,NA
FMS72_09-29-25,2025-09-29T00:00:00Z,87.7,FMS72,430,411,708,N,Y,Y,3DD.003E54C317,1,0,0,0,1,0,0,NA
FMS73_09-30-25,2025-09-30T00:00:00Z,96.5,FMS73,372,351,357,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS74_09-30-25,2025-09-30T00:00:00Z,96.5,FMS74,482,454,781,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS75_09-30-25,2025-09-30T00:00:00Z,96.5,FMS75,405,385,523,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS76_09-30-25,2025-09-30T00:00:00Z,96.5,FMS76,455,430,773,N,Y,N,NA,0,0,0,1,0,0,0,Slightly damaged anal fin (not caudal)
FMS77_10-01-25,2025-10-01T00:00:00Z,108.6,FMS77,373,350,400,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS78_10-01-25,2025-10-01T00:00:00Z,108.6,FMS78,355,334,308,Y,Y,N,NA,0,0,0,0,0,0,0,NA
HBC14_10-01-25,2025-10-01T00:00:00Z,108.6,HBC14,294,260,215,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS79_10-01-25,2025-10-01T00:00:00Z,108.6,FMS79,354,319,376,Y,Y,Y,3DD.003E54C5CD,0,0,2,2,0,0,0,NA
HBC15_10-01-25,2025-10-01T00:00:00Z,108.6,HBC15,226,202,84,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS80_10-01-25,2025-10-01T00:00:00Z,108.6,FMS80,276,258,171,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS81_10-01-25,2025-10-01T00:00:00Z,108.6,FMS81,355,337,332,Y,Y,N,NA,1,0,0,0,0,0,0,NA
HBC16_10-01-25,2025-10-01T00:00:00Z,108.6,HBC16,280,250,173,Y,Y,N,NA,1,0,0,0,0,0,0,NA
HBC17_10-01-25,2025-10-01T00:00:00Z,108.6,HBC17,248,217,142,N,Y,N,NA,0,0,0,0,0,0,0,NA
HBC18_10-01-25,2025-10-01T00:00:00Z,108.6,HBC18,229,205,96,Y,Y,N,NA,1,0,0,0,0,0,0,NA
HBC19_10-01-25,2025-10-01T00:00:00Z,108.6,HBC19,252,218,146,N,Y,Y,3DD.003E54C5C2,0,0,0,0,0,0,0,Healed abrasian on right side-scar (base g dorsal)
FMS82_10-01-25,2025-10-01T00:00:00Z,108.6,FMS82,450,428,647,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS83_10-01-25,2025-10-01T00:00:00Z,108.6,FMS83,366,344,381,Y,Y,N,NA,0,0,0,1,0,0,0,NA
FMS84_10-01-25,2025-10-01T00:00:00Z,108.6,FMS84,411,393,531,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS85_10-01-25,2025-10-01T00:00:00Z,108.6,FMS85,377,357,387,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS86_10-01-25,2025-10-01T00:00:00Z,108.6,FMS86,368,349,366,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS87_10-01-25,2025-10-01T00:00:00Z,108.6,FMS87,385,363,405,N,Y,N,NA,1,0,1,2,0,0,0,NA
FMS88_10-01-25,2025-10-01T00:00:00Z,108.6,FMS88,334,312,265,Y,Y,N,NA,1,0,1,0,0,0,0,NA
FMS89_10-01-25,2025-10-01T00:00:00Z,108.6,FMS89,410,391,464,Y,Y,Y,3DD.003D7A52CE,0,0,0,1,0,0,0,NA
FMS90_10-01-25,2025-10-01T00:00:00Z,108.6,FMS90,357,337,335,Y,Y,Y,3DD.003E54C5F1,0,0,1,0,0,0,0,NA
FMS91_10-01-25,2025-10-01T00:00:00Z,108.6,FMS91,354,336,343,N,Y,Y,3DD.003E54C5DA,0,0,1,1,0,0,0,NA
HBC20_10-01-25,2025-10-01T00:00:00Z,108.6,HBC20,267,235,130,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS92_10-01-25,2025-10-01T00:00:00Z,108.6,FMS92,322,303,287,N,Y,Y,3DD.003E13BD9F,1,0,1,1,0,0,0,NA
FMS93_10-02-25,2025-10-02T00:00:00Z,125.4,FMS93,345,328,328,N,Y,N,NA,0,0,0,0,0,0,0,NA
RBT12_10-02-25,2025-10-02T00:00:00Z,125.4,RBT12,161,150,35,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS94_10-02-25,2025-10-02T00:00:00Z,125.4,FMS94,381,359,407,Y,Y,N,NA,0,0,1,0,0,0,0,NA
FMS95_10-02-25,2025-10-02T00:00:00Z,125.4,FMS95,362,343,381,N,Y,N,milt,0,0,0,0,0,0,0,NA
FMS96_10-02-25,2025-10-02T00:00:00Z,125.4,FMS96,305,286,201,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS97_10-02-25,2025-10-02T00:00:00Z,125.4,FMS97,289,268,176,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS98_10-02-25,2025-10-02T00:00:00Z,125.4,FMS98,279,260,163,N,Y,N,NA,0,0,1,0,0,0,0,NA
FMS99_10-02-25,2025-10-02T00:00:00Z,125.4,FMS99,296,275,200,Y,Y,N,NA,0,0,0,1,0,0,0,NA
FMS100_10-02-25,2025-10-02T00:00:00Z,125.4,FMS100,375,354,395,Y,Y,N,NA,1,0,0,0,0,0,0,NA
FMS101_10-02-25,2025-10-02T00:00:00Z,125.4,FMS101,374,349,389,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS102_10-02-25,2025-10-02T00:00:00Z,125.4,FMS102,394,370,412,Y,Y,N,NA,0,0,1,2,0,0,0,NA
FMS103_10-02-25,2025-10-02T00:00:00Z,125.4,FMS103,348,321,339,N,Y,N,NA,0,0,1,0,0,0,0,NA
FMS104_10-02-25,2025-10-02T00:00:00Z,125.4,FMS104,346,322,290,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS105_10-03-25,2025-10-03T00:00:00Z,136.8,FMS105,372,349,382,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS106_10-03-25,2025-10-03T00:00:00Z,136.8,FMS106,369,344,265,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS107_10-03-25,2025-10-03T00:00:00Z,136.8,FMS107,368,345,360,N,Y,N,NA,0,0,0,0,0,0,0,NA
FMS108_10-03-25,2025-10-03T00:00:00Z,136.8,FMS108,284,265,160,Y,Y,N,NA,0,0,0,0,1,0,0,NA
FMS109_10-03-25,2025-10-03T00:00:00Z,136.8,FMS109,443,420,515,N,Y,N,NA,0,0,0,1,0,0,0,NA
FMS110_10-03-25,2025-10-03T00:00:00Z,136.8,FMS110,383,360,435,Y,Y,N,NA,0,0,0,0,0,0,0,Vibrating- seizure?
FMS111_10-03-25,2025-10-03T00:00:00Z,136.8,FMS111,365,344,378,Y,Y,N,NA,0,0,0,0,0,0,0,NA
FMS112_10-03-25,2025-10-03T00:00:00Z,136.8,FMS112,339,315,305,Y,Y,N,milt,0,0,0,0,0,0,0,NA
FMS113_10-03-25,2025-10-03T00:00:00Z,136.8,FMS113,370,349,385,N,Y,N,NA,0,0,1,1,0,0,0,NA
HBC21_10-03-25,2025-10-03T00:00:00Z,136.8,HBC21,267,235,121,N,Y,N,NA,0,0,0,1,0,0,0,NA
FMS114_10-03-25,2025-10-03T00:00:00Z,136.8,FMS114,339,315,282,N,Y,N,NA,0,0,0,0,0,0,0,NA
